dataset name,amount of badness,task,base learner,macro_f1,auc_roc,minority_precision,minority_recall,minority_f1,majority_f1,train_time,inference_time
spambase,0.03,Task.DATA_IMBALANCE,DT,0.7078973650225868,0.9843090402230187,0.3598136549049328,0.9277777777777778,0.47303114020034204,0.9427635898448316,0.13692777925170957,0.002559843147173524
spambase,0.03,Task.DATA_IMBALANCE,RF,0.6536381568444231,0.9879032258064516,0.24921652871674982,1.0,0.38374977848662056,0.9235265352022255,0.3873496786225587,0.0019030922092497348
spambase,0.04,Task.DATA_IMBALANCE,DT,0.7337236871565574,0.9576735092864125,0.3848060224089636,0.9272727272727274,0.5174635273725264,0.9499838469405884,0.10840867259539663,0.0012344755697995425
spambase,0.04,Task.DATA_IMBALANCE,RF,0.7257099731979227,0.9680026067122842,0.34604353499518503,0.9454545454545455,0.4954764486579711,0.9559434977378742,0.30404277839697896,0.0017637653741985559
spambase,0.05,Task.DATA_IMBALANCE,DT,0.7548901524246967,0.9830517153097798,0.4233646919230443,0.9142857142857143,0.5543627450980392,0.9554175597513546,0.10303421285934747,0.0012968414463102817
spambase,0.05,Task.DATA_IMBALANCE,RF,0.7426725034470173,0.9851510496671786,0.40948135843484684,0.9285714285714285,0.5346515515021893,0.950693455391845,0.3664821433834732,0.0019049483817070723
spambase,0.06,Task.DATA_IMBALANCE,DT,0.7490947250555993,0.9752055660974067,0.3907205237552382,0.9411764705882353,0.5494539472004261,0.9487355029107724,0.1486913963686675,0.0012946659233421087
spambase,0.06,Task.DATA_IMBALANCE,RF,0.7785347245159959,0.968416613957411,0.453952380952381,0.9294117647058824,0.600227852571567,0.9568415964604251,0.6208276356104762,0.002391462493687868
spambase,0.07,Task.DATA_IMBALANCE,DT,0.8119889373639564,0.9855404640633842,0.5105451127819548,0.9384210526315788,0.6595055909878622,0.9644722837400506,0.13634460484609007,0.0013051356188952922
spambase,0.07,Task.DATA_IMBALANCE,RF,0.7944708845185895,0.9794699113374834,0.4892382759555435,0.9389473684210525,0.63363206097486,0.955309708062319,0.47754346118308605,0.0022679520305246116
spambase,0.08,Task.DATA_IMBALANCE,DT,0.8622856336770838,0.9740695878844546,0.6960750360750361,0.8189723320158103,0.7474066985645933,0.9771645687895741,0.14674213300459088,0.0015678153838962316
spambase,0.08,Task.DATA_IMBALANCE,RF,0.8476491446433225,0.9724722682646947,0.6494063407856511,0.8553359683794467,0.7236279230930394,0.9716703661936055,0.6191084874328225,0.0025593296624720095
spambase,0.09,Task.DATA_IMBALANCE,DT,0.8792054482170565,0.9816774193548387,0.7044462206660046,0.8959999999999999,0.7817451213499174,0.9766657750841958,0.1284090509172529,0.0013993604574352504
spambase,0.09,Task.DATA_IMBALANCE,RF,0.867639729604311,0.9801863799283155,0.6670495023136589,0.8879999999999999,0.7607636859536333,0.9745157732549886,0.3916459872853011,0.002027895161882043
spambase,0.1,Task.DATA_IMBALANCE,DT,0.8603339211644123,0.9810035842293907,0.68499602345292,0.8857142857142856,0.7528293287957945,0.9678385135330301,0.12396066640503704,0.001342196250334382
spambase,0.1,Task.DATA_IMBALANCE,RF,0.8337243781848447,0.9805939580133127,0.5993722943722944,0.9285714285714286,0.7115730869462213,0.9558756694234679,0.5740250521805137,0.0024219930171966554
spambase,0.11,Task.DATA_IMBALANCE,DT,0.8830759796966243,0.9862053333399878,0.7500721111247427,0.864516129032258,0.7928428058346284,0.9733091535586199,0.15940579832531512,0.001486902590841055
spambase,0.11,Task.DATA_IMBALANCE,RF,0.890018997012002,0.9791528275818472,0.7404977096546863,0.8903225806451612,0.8047958300855,0.9752421639385039,0.5311672902200371,0.0020680433604866265
spambase,0.12,Task.DATA_IMBALANCE,DT,0.8647114215799906,0.9812010043509094,0.6640644847142143,0.9160427807486631,0.7648152635068775,0.9646075796531036,0.12207227423787118,0.0013949626125395298
spambase,0.12,Task.DATA_IMBALANCE,RF,0.8694936687309397,0.9747941144525585,0.6905017597790252,0.8916221033868093,0.7720205957276896,0.9669667417341902,0.7005424404516816,0.002264874428510666
